#Title;Digilent WaveForms Oscilloscope Data
#Device Name;Analog Discovery
#Serial Number;SN:210244449474
#Software Version;2.4.4
Time (s);C1 (V);C2 (V)
5.408E-05;0.278931819542581;1.56147063498161
5.409E-05;0.277599212938196;1.55777210255474
5.41E-05;0.280264426146965;1.55978948387849
5.411E-05;0.280930729449157;1.55609095145161
5.412E-05;0.281263881100254;1.55743587233411
5.413E-05;0.281263881100254;1.55743587233411
5.414E-05;0.282263336053542;1.55844456299599
5.415E-05;0.280264426146965;1.55810833277536
5.416E-05;0.281930184402446;1.55474603056911
5.417E-05;0.280264426146965;1.55878079321661
5.418E-05;0.279598122844773;1.55508226078974
5.419E-05;0.280264426146965;1.55508226078974
5.42E-05;0.280930729449157;1.55575472123099
5.421E-05;0.279931274495869;1.55474603056911
5.422E-05;0.279598122844773;1.55373733990724
5.423E-05;0.280264426146965;1.55272864924536
5.424E-05;0.282263336053542;1.55306487946599
5.425E-05;0.281263881100254;1.55104749814223
5.426E-05;0.280264426146965;1.55104749814223
5.427E-05;0.28159703275135;1.55037503770098
5.428E-05;0.279598122844773;1.55272864924536
5.429E-05;0.280930729449157;1.55205618880411
5.43E-05;0.281930184402446;1.55138372836286
5.431E-05;0.281263881100254;1.55239241902473
5.432E-05;0.279598122844773;1.55138372836286
5.433E-05;0.278931819542581;1.55171995858348
5.434E-05;0.280264426146965;1.55306487946599
5.435E-05;0.280930729449157;1.55440980034849
5.436E-05;0.281263881100254;1.55138372836286
5.437E-05;0.280930729449157;1.55239241902473
5.438E-05;0.281930184402446;1.55239241902473
5.439E-05;0.280597577798061;1.55171995858348
5.44E-05;0.28159703275135;1.55205618880411
5.441E-05;0.282596487704638;1.55138372836286
5.442E-05;0.280597577798061;1.55171995858348
5.443E-05;0.281930184402446;1.55407357012786
5.444E-05;0.280264426146965;1.55205618880411
5.445E-05;0.28326279100683;1.55407357012786
5.446E-05;0.279931274495869;1.55340110968661
5.447E-05;0.28159703275135;1.55407357012786
5.448E-05;0.28159703275135;1.55373733990724
5.449E-05;0.280597577798061;1.55340110968661
5.45E-05;0.279264971193677;1.55575472123099
5.451E-05;0.280930729449157;1.55575472123099
5.452E-05;0.281263881100254;1.55575472123099
5.453E-05;0.280597577798061;1.55508226078974
5.454E-05;0.28326279100683;1.55407357012786
5.455E-05;0.279931274495869;1.55474603056911
5.456E-05;0.280264426146965;1.55575472123099
5.457E-05;0.280930729449157;1.55474603056911
5.458E-05;0.279598122844773;1.55440980034849
5.459E-05;0.22795961692487;1.55642718167224
5.46E-05;0.174655352749487;1.55609095145161
5.461E-05;0.143005945895353;1.55474603056911
5.462E-05;0.119352178667527;1.55642718167224
5.463E-05;0.101028837857239;1.55609095145161
5.464E-05;0.0920337432776426;1.55541849101036
5.465E-05;0.0820391937447582;1.55642718167224
5.466E-05;0.0833718003491428;1.55440980034849
5.467E-05;0.106692415925873;1.55508226078974
5.468E-05;0.101361989508335;1.55609095145161
5.469E-05;0.0920337432776426;1.55440980034849
5.47E-05;0.0813728904425659;1.55609095145161
5.471E-05;0.074709857420643;1.55642718167224
5.472E-05;0.0703788859563931;1.55575472123099
5.473E-05;0.0687131277009123;1.55373733990724
5.474E-05;0.0670473694454316;1.55575472123099
5.475E-05;0.0650484595388547;1.55709964211349
5.476E-05;0.0637158529344702;1.55575472123099
5.477E-05;0.0620500946789894;1.55878079321661
5.478E-05;0.0617169430278933;1.55810833277536
5.479E-05;0.0603843364235087;1.55743587233411
5.48E-05;0.0620500946789894;1.55911702343724
5.481E-05;0.0640490045855663;1.55911702343724
5.482E-05;0.0623832463300856;1.55911702343724
5.483E-05;0.0650484595388547;1.56113440476099
5.484E-05;0.0617169430278933;1.56315178608474
5.485E-05;0.0637158529344702;1.56416047674662
5.486E-05;0.063382701283374;1.56348801630537
5.487E-05;0.0653816111899509;1.56584162784974
5.488E-05;0.0623832463300856;1.56718654873224
